year,month,day,departure_time,arrival_time,carrier,flight_number,aircraft_registration,flight_time,airport_origin,airport_destination,distance,is_cancelled,is_diverted
2008,1,3,929,1138,WN,2011,N292WN,249,HOU,OAK,1642,0,0
2008,1,3,1214,1335,WN,877,N362SW,81,HOU,OKC,419,0,0
2008,1,3,1318,1434,WN,956,N728SW,76,HOU,OKC,419,0,0
2008,1,3,1735,1858,WN,1230,N677AA,83,HOU,OKC,419,0,0
2008,1,3,904,1018,WN,1916,N357SW,74,HOU,OKC,419,0,0
2008,1,3,1555,2007,WN,31,N793SA,192,HOU,PHL,1335,0,0
2008,1,3,807,1213,WN,476,N237WN,186,HOU,PHL,1335,0,0
2008,1,3,926,1112,WN,1481,N227WN,166,HOU,PHX,1020,0,0
2008,1,3,1544,1728,WN,1600,N769SW,164,HOU,PHX,1020,0,0
2008,1,3,1931,2119,WN,2100,N704SW,168,HOU,PHX,1020,0,0
2008,1,3,2206,2353,WN,3154,N252WN,167,HOU,PHX,1020,0,0
2008,1,3,658,847,WN,3230,N728SW,169,HOU,PHX,1020,0,0
2008,1,3,1254,1415,WN,1314,N768SW,201,HOU,SAN,1312,0,0
2008,1,3,1343,1435,WN,63,N305SW,52,HOU,SAT,192,0,0
2008,1,3,13,57,WN,186,N792SW,44,HOU,SAT,192,0,0
2008,1,3,NA,NA,WN,609,,NA,HOU,SAT,192,1,0
2008,1,3,840,926,WN,626,N417WN,46,HOU,SAT,192,0,0
2008,1,3,2058,2149,WN,1410,N614SW,51,HOU,SAT,192,0,0
2008,1,3,1035,1124,WN,2089,N504SW,49,HOU,SAT,192,0,0
2008,1,3,1529,1618,WN,2436,N623SW,49,HOU,SAT,192,0,0
2008,1,3,1713,1800,WN,3321,N296WN,47,HOU,SAT,192,0,0
2008,1,3,629,819,WN,426,N360SW,110,HOU,STL,687,0,0
2008,1,3,1315,1508,WN,2176,N504SW,113,HOU,STL,687,0,0
2008,1,3,1857,2058,WN,3574,N644SW,121,HOU,STL,687,0,0
2008,1,3,939,1125,WN,3845,N248WN,106,HOU,STL,687,0,0
2008,1,3,1629,1938,WN,29,N652SW,129,HOU,TPA,781,0,0
2008,1,3,1952,2245,WN,45,N631SW,113,HOU,TPA,781,0,0
2008,1,3,818,1115,WN,201,N251WN,117,HOU,TPA,781,0,0
2008,1,3,1122,1415,WN,968,N417WN,113,HOU,TPA,781,0,0
2008,1,3,704,822,WN,308,N502SW,78,HOU,TUL,453,0,0
2008,1,3,2016,2141,WN,1491,N366SW,85,HOU,TUL,453,0,0
2008,1,3,1125,1246,WN,1685,N341SW,81,HOU,TUL,453,0,0
2008,1,3,1723,1845,WN,3915,N528SW,82,HOU,TUL,453,0,0
2008,1,3,1414,1510,WN,1417,N515SW,56,HRL,AUS,273,0,0
2008,1,3,631,723,WN,8,N339SW,52,HRL,HOU,276,0,0
2008,1,3,859,1004,WN,18,N418WN,65,HRL,HOU,276,0,0
2008,1,3,1054,1144,WN,24,N503SW,50,HRL,HOU,276,0,0
2008,1,3,1210,1302,WN,30,N689SW,52,HRL,HOU,276,0,0
2008,1,3,1407,1459,WN,36,N511SW,52,HRL,HOU,276,0,0
2008,1,3,1549,1649,WN,44,N512SW,60,HRL,HOU,276,0,0
2008,1,3,1744,1838,WN,50,N525SW,54,HRL,HOU,276,0,0
2008,1,3,1826,1921,WN,56,N522SW,55,HRL,HOU,276,0,0
2008,1,3,2040,2131,WN,64,N470WN,51,HRL,HOU,276,0,0
2008,1,3,942,1031,WN,1170,N507SW,49,HRL,SAT,233,0,0
2008,1,3,2029,2121,WN,2023,N295WN,52,HRL,SAT,233,0,0
2008,1,3,816,1052,WN,2622,N445WN,336,IAD,LAS,2066,0,0
2008,1,3,1520,1723,WN,1491,N366SW,123,IAD,MCO,758,0,0
2008,1,3,956,1153,WN,3760,N672SW,117,IAD,MCO,758,0,0
2008,1,3,1100,1148,WN,470,N657SW,108,IAD,MDW,577,0,0
2008,1,3,639,726,WN,511,N272WN,107,IAD,MDW,577,0,0
2008,1,3,2302,2351,WN,999,N652SW,109,IAD,MDW,577,0,0
2008,1,3,1903,1955,WN,1394,N294WN,112,IAD,MDW,577,0,0
2008,1,3,1509,1558,WN,1662,N461WN,109,IAD,MDW,577,0,0
2008,1,3,947,1034,WN,2019,N392SW,107,IAD,MDW,577,0,0
2008,1,3,2003,2211,WN,335,N712SW,128,IAD,TPA,810,0,0
2008,1,3,754,1002,WN,3231,N772SW,128,IAD,TPA,810,0,0
2008,1,3,628,804,WN,448,N428WN,96,IND,BWI,515,0,0
2008,1,3,926,1054,WN,1746,N612SW,88,IND,BWI,515,0,0
2008,1,3,1829,1959,WN,3920,N464WN,90,IND,BWI,515,0,0
2008,1,3,1940,2121,WN,378,N726SW,101,IND,JAX,688,0,0
2008,1,3,1937,2037,WN,509,N763SW,240,IND,LAS,1591,0,0
2008,1,3,1039,1132,WN,535,N428WN,233,IND,LAS,1591,0,0
2008,1,3,617,652,WN,11,N689SW,95,IND,MCI,451,0,0
2008,1,3,1620,1639,WN,810,N648SW,79,IND,MCI,451,0,0
2008,1,3,706,916,WN,100,N690SW,130,IND,MCO,828,0,0
2008,1,3,1644,1845,WN,1333,N334SW,121,IND,MCO,828,0,0
2008,1,3,1426,1426,WN,829,N476WN,60,IND,MDW,162,0,0
2008,1,3,715,720,WN,1016,N765SW,65,IND,MDW,162,0,0
2008,1,3,1702,1651,WN,1827,N420WN,49,IND,MDW,162,0,0
2008,1,3,1029,1021,WN,2272,N263WN,52,IND,MDW,162,0,0
2008,1,3,1452,1640,WN,675,N286WN,228,IND,PHX,1489,0,0
2008,1,3,754,940,WN,1144,N778SW,226,IND,PHX,1489,0,0
2008,1,3,1323,1526,WN,4,N674AA,123,IND,TPA,838,0,0
2008,1,3,1416,1512,WN,54,N643SW,56,ISP,BWI,220,0,0
2008,1,3,706,807,WN,68,N497WN,61,ISP,BWI,220,0,0
2008,1,3,1657,1754,WN,623,N724SW,57,ISP,BWI,220,0,0
2008,1,3,1900,1956,WN,717,N786SW,56,ISP,BWI,220,0,0
2008,1,3,1039,1133,WN,1244,N714CB,54,ISP,BWI,220,0,0
2008,1,3,801,902,WN,2101,N222WN,61,ISP,BWI,220,0,0
2008,1,3,1520,1619,WN,2553,N394SW,59,ISP,BWI,220,0,0
2008,1,3,1422,1657,WN,188,N215WN,155,ISP,FLL,1093,0,0
2008,1,3,1954,2239,WN,1754,N243WN,165,ISP,FLL,1093,0,0
2008,1,3,636,921,WN,2275,N454WN,165,ISP,FLL,1093,0,0
2008,1,3,734,958,WN,550,N712SW,324,ISP,LAS,2283,0,0
2008,1,3,2107,2334,WN,362,N798SW,147,ISP,MCO,972,0,0
2008,1,3,1008,1234,WN,543,N736SA,146,ISP,MCO,972,0,0
2008,1,3,712,953,WN,1112,N795SW,161,ISP,MCO,972,0,0
2008,1,3,1312,1546,WN,1397,N247WN,154,ISP,MCO,972,0,0
2008,1,3,1449,1715,WN,3398,N707SA,146,ISP,MCO,972,0,0
2008,1,3,1634,1859,WN,3480,N443WN,145,ISP,MCO,972,0,0
2008,1,3,831,935,WN,300,N753SW,124,ISP,MDW,765,0,0
2008,1,3,1812,1927,WN,422,N779SW,135,ISP,MDW,765,0,0
2008,1,3,1127,1235,WN,1837,N704SW,128,ISP,MDW,765,0,0
2008,1,3,1424,1531,WN,2871,N709SW,127,ISP,MDW,765,0,0
2008,1,3,1326,1559,WN,1056,N459WN,153,ISP,PBI,1052,0,0
2008,1,3,1749,2019,WN,2175,N621SW,150,ISP,PBI,1052,0,0
2008,1,3,726,958,WN,3319,N206WN,152,ISP,PBI,1052,0,0
2008,1,3,646,929,WN,3667,N280WN,163,ISP,RSW,1101,0,0
2008,1,3,1153,1428,WN,2006,N241WN,155,ISP,TPA,1034,0,0
2008,1,3,1528,1802,WN,3858,N200WN,154,ISP,TPA,1034,0,0
2008,1,3,634,907,WN,3928,N459WN,153,ISP,TPA,1034,0,0
2008,1,3,831,1148,WN,534,N286WN,137,JAN,BWI,888,0,0
2008,1,3,1450,1806,WN,3244,N475WN,136,JAN,BWI,888,0,0
2008,1,3,2245,2354,WN,186,N792SW,69,JAN,HOU,359,0,0
2008,1,3,615,724,WN,971,N202WN,69,JAN,HOU,359,0,0
2008,1,3,1150,1303,WN,2124,N646SW,73,JAN,HOU,359,0,0
2008,1,3,2025,2135,WN,3154,N252WN,70,JAN,HOU,359,0,0
2008,1,3,1038,1314,WN,1035,N346SW,96,JAN,MCO,587,0,0
2008,1,3,1900,2123,WN,205,N299WN,143,JAN,MDW,666,0,0
2008,1,3,700,851,WN,449,N528SW,111,JAN,MDW,666,0,0
2008,1,3,948,959,WN,3430,N487WN,71,JAX,BHM,365,0,0
2008,1,3,646,725,WN,1580,N243WN,99,JAX,BNA,484,0,0
2008,1,3,1110,1136,WN,2195,N479WN,86,JAX,BNA,484,0,0
2008,1,3,1535,1603,WN,2804,N255WN,88,JAX,BNA,484,0,0
2008,1,3,1919,1942,WN,3428,N215WN,83,JAX,BNA,484,0,0
2008,1,3,1053,1245,WN,433,N264LV,112,JAX,BWI,663,0,0
2008,1,3,1433,1623,WN,1331,N714CB,110,JAX,BWI,663,0,0
2008,1,3,2015,2158,WN,3504,N436WN,103,JAX,BWI,663,0,0
2008,1,3,2139,2244,WN,378,N726SW,65,JAX,FLL,318,0,0
2008,1,3,1500,1602,WN,640,N399WN,62,JAX,FLL,318,0,0
2008,1,3,850,1000,WN,1396,N387SW,70,JAX,FLL,318,0,0
2008,1,3,646,752,WN,2189,N405WN,66,JAX,FLL,318,0,0
2008,1,3,1221,1328,WN,3312,N685SW,67,JAX,FLL,318,0,0
2008,1,3,1738,1841,WN,3948,N467WN,63,JAX,FLL,318,0,0
2008,1,3,1813,1936,WN,54,N643SW,143,JAX,HOU,816,0,0
2008,1,3,802,1001,WN,2272,N263WN,119,JAX,IND,688,0,0
2008,1,3,1820,1946,WN,549,N363SW,86,JAX,ORF,543,0,0
2008,1,3,821,953,WN,3604,N257WN,92,JAX,ORF,543,0,0
2008,1,3,1734,1941,WN,23,N521SW,127,JAX,PHL,742,0,0
2008,1,3,712,926,WN,1232,N663SW,134,JAX,PHL,742,0,0
2008,1,3,1318,1410,WN,977,N376SW,52,JAX,TPA,180,0,0
2008,1,3,958,1052,WN,1574,N791SW,54,JAX,TPA,180,0,0
2008,1,3,1859,1950,WN,2019,N392SW,51,JAX,TPA,180,0,0
2008,1,3,1538,1753,WN,500,N799SW,75,LAS,ABQ,487,0,0
2008,1,3,933,1151,WN,778,N607SW,78,LAS,ABQ,487,0,0
2008,1,3,2248,102,WN,890,N618WN,74,LAS,ABQ,487,0,0
2008,1,3,1327,1550,WN,1171,N682SW,83,LAS,ABQ,487,0,0
2008,1,3,624,846,WN,1320,N456WN,82,LAS,ABQ,487,0,0
2008,1,3,1614,1833,WN,1925,N509SW,79,LAS,ABQ,487,0,0
2008,1,3,1917,2136,WN,2457,N293,79,LAS,ABQ,487,0,0
2008,1,3,1832,148,WN,302,N473WN,256,LAS,ALB,2237,0,0
2008,1,3,1229,1633,WN,1079,N351SW,124,LAS,AMA,758,0,0
2008,1,3,1256,1724,WN,155,N238WN,148,LAS,AUS,1090,0,0
2008,1,3,2118,144,WN,2021,N499WN,146,LAS,AUS,1090,0,0
2008,1,3,905,1334,WN,3222,N309SW,149,LAS,AUS,1090,0,0
2008,1,3,1739,114,WN,1018,N245WN,275,LAS,BDL,2298,0,0
2008,1,3,906,1426,WN,3948,N467WN,200,LAS,BHM,1618,0,0
2008,1,3,816,1339,WN,249,N256WN,203,LAS,BNA,1588,0,0
2008,1,3,1325,1841,WN,419,N275WN,196,LAS,BNA,1588,0,0
2008,1,3,1506,2030,WN,2032,N271WN,204,LAS,BNA,1588,0,0
2008,1,3,2039,155,WN,3940,N434WN,196,LAS,BNA,1588,0,0
2008,1,3,924,1209,WN,71,N312SW,105,LAS,BOI,520,0,0
2008,1,3,1611,1849,WN,538,N619SW,98,LAS,BOI,520,0,0
2008,1,3,1824,117,WN,2383,N290WN,233,LAS,BUF,1987,0,0
2008,1,3,826,930,WN,136,N493WN,64,LAS,BUR,223,0,0
2008,1,3,2118,2224,WN,219,N383SW,66,LAS,BUR,223,0,0
2008,1,3,1818,1916,WN,391,N608SW,58,LAS,BUR,223,0,0
2008,1,3,650,748,WN,670,N777QC,58,LAS,BUR,223,0,0
2008,1,3,2146,2250,WN,815,N626SW,64,LAS,BUR,223,0,0
2008,1,3,2241,2340,WN,1072,N369SW,59,LAS,BUR,223,0,0
2008,1,3,1409,1513,WN,1328,N396SW,64,LAS,BUR,223,0,0
2008,1,3,1100,1157,WN,1586,N293,57,LAS,BUR,223,0,0
2008,1,3,1306,1406,WN,1838,N509SW,60,LAS,BUR,223,0,0
2008,1,3,1726,1832,WN,2284,N409WN,66,LAS,BUR,223,0,0
2008,1,3,915,1017,WN,2699,N278WN,62,LAS,BUR,223,0,0
2008,1,3,1229,1342,WN,2874,N695SW,73,LAS,BUR,223,0,0
2008,1,3,1459,1556,WN,3237,N284WN,57,LAS,BUR,223,0,0
2008,1,3,908,1628,WN,1774,N220WN,260,LAS,BWI,2106,0,0
2008,1,3,1817,122,WN,2632,N784SW,245,LAS,BWI,2106,0,0
2008,1,3,1248,2009,WN,3759,N463WN,261,LAS,BWI,2106,0,0
2008,1,3,956,1658,WN,818,N244WN,242,LAS,CLE,1825,0,0
2008,1,3,1849,121,WN,564,N455WN,212,LAS,CMH,1772,0,0
2008,1,3,1210,1905,WN,991,N297WN,235,LAS,CMH,1772,0,0
2008,1,3,701,941,WN,85,N688SW,100,LAS,DEN,629,0,0
2008,1,3,1047,1328,WN,157,N481WN,101,LAS,DEN,629,0,0
2008,1,3,2232,108,WN,632,N203WN,96,LAS,DEN,629,0,0
2008,1,3,1512,1802,WN,706,N491WN,110,LAS,DEN,629,0,0
2008,1,3,2025,2301,WN,908,N480WN,96,LAS,DEN,629,0,0
2008,1,3,1439,1720,WN,1582,N318SW,101,LAS,DEN,629,0,0
2008,1,3,1627,1916,WN,2907,N647SW,109,LAS,DEN,629,0,0
2008,1,3,1745,2017,WN,2192,N313SW,92,LAS,ELP,584,0,0
2008,1,3,1049,1320,WN,2280,N352SW,91,LAS,ELP,584,0,0
2008,1,3,1117,1325,WN,1636,N321SW,128,LAS,GEG,806,0,0
2008,1,3,1725,1940,WN,2803,N660SW,135,LAS,GEG,806,0,0
2008,1,3,1824,2303,WN,719,N414WN,159,LAS,HOU,1235,0,0
2008,1,3,1150,1644,WN,1776,N408WN,174,LAS,HOU,1235,0,0
2008,1,3,749,1227,WN,3244,N475WN,158,LAS,HOU,1235,0,0
2008,1,3,2051,134,WN,3746,N321SW,163,LAS,HOU,1235,0,0
2008,1,3,1555,2307,WN,1027,N230WN,252,LAS,IAD,2066,0,0
2008,1,3,2255,509,WN,1924,N761RR,194,LAS,IND,1591,0,0
2008,1,3,1129,1757,WN,3920,N464WN,208,LAS,IND,1591,0,0
2008,1,3,1602,2357,WN,3144,N272WN,295,LAS,ISP,2283,0,0
2008,1,3,1738,1838,WN,82,N499WN,60,LAS,LAX,236,0,0
2008,1,3,2207,2306,WN,135,N244WN,59,LAS,LAX,236,0,0
2008,1,3,1851,2004,WN,317,N335SW,73,LAS,LAX,236,0,0
2008,1,3,701,802,WN,337,N488WN,61,LAS,LAX,236,0,0
2008,1,3,1556,1704,WN,354,N496WN,68,LAS,LAX,236,0,0
2008,1,3,1254,1404,WN,784,N401WN,70,LAS,LAX,236,0,0
2008,1,3,840,946,WN,790,N351SW,66,LAS,LAX,236,0,0
2008,1,3,1540,1648,WN,1061,N422WN,68,LAS,LAX,236,0,0
2008,1,3,750,901,WN,1653,N288WN,71,LAS,LAX,236,0,0
2008,1,3,1228,1340,WN,1928,N792SW,72,LAS,LAX,236,0,0
2008,1,3,2047,2209,WN,2367,N352SW,82,LAS,LAX,236,0,0
2008,1,3,2158,2303,WN,2896,N335SW,65,LAS,LAX,236,0,0
2008,1,3,1028,1132,WN,3655,N465WN,64,LAS,LAX,236,0,0
2008,1,3,1423,1530,WN,3917,N609SW,67,LAS,LAX,236,0,0
2008,1,3,1147,1541,WN,2382,N404WN,114,LAS,LBB,775,0,0
2008,1,3,859,1343,WN,565,N787SA,164,LAS,LIT,1295,0,0
2008,1,3,1140,1537,WN,43,N617SW,117,LAS,MAF,796,0,0
2008,1,3,1226,1721,WN,213,N302SW,175,LAS,MCI,1140,0,0
2008,1,3,2118,154,WN,411,N763SW,156,LAS,MCI,1140,0,0
2008,1,3,2003,26,WN,1004,N676SW,143,LAS,MCI,1140,0,0
2008,1,3,1622,2059,WN,1405,N775SW,157,LAS,MCI,1140,0,0
2008,1,3,648,1123,WN,2972,N634SW,155,LAS,MCI,1140,0,0
2008,1,3,1003,1441,WN,3068,N449WN,158,LAS,MCI,1140,0,0
2008,1,3,1319,2033,WN,380,N444WN,254,LAS,MCO,2039,0,0
2008,1,3,1506,2122,WN,74,N764SW,256,LAS,MDW,1521,0,0
2008,1,3,648,1205,WN,227,N723SW,197,LAS,MDW,1521,0,0
2008,1,3,1052,1603,WN,335,N712SW,191,LAS,MDW,1521,0,0
2008,1,3,1424,1941,WN,396,N407WN,197,LAS,MDW,1521,0,0
2008,1,3,1211,1750,WN,693,N232WN,219,LAS,MDW,1521,0,0
2008,1,3,814,1334,WN,823,N725SW,200,LAS,MDW,1521,0,0
2008,1,3,934,1453,WN,830,N436WN,199,LAS,MDW,1521,0,0
2008,1,3,1708,2214,WN,1865,N745SW,186,LAS,MDW,1521,0,0
2008,1,3,1919,31,WN,2025,N740SW,192,LAS,MDW,1521,0,0
2008,1,3,1945,52,WN,2450,N405WN,187,LAS,MDW,1521,0,0
2008,1,3,2057,202,WN,2794,N468WN,185,LAS,MDW,1521,0,0
2008,1,3,1354,1907,WN,3232,N201LV,193,LAS,MDW,1521,0,0
2008,1,3,1703,33,WN,767,N222WN,270,LAS,MHT,2356,0,0
2008,1,3,1030,1545,WN,762,N295WN,195,LAS,MSY,1501,0,0
2008,1,3,1903,5,WN,3327,N282WN,182,LAS,MSY,1501,0,0
2008,1,3,1108,1244,WN,125,N782SA,96,LAS,OAK,407,0,0
2008,1,3,NA,NA,WN,126,,NA,LAS,OAK,407,1,0
2008,1,3,1354,1525,WN,127,N784SW,91,LAS,OAK,407,0,0
2008,1,3,1944,2110,WN,223,N223WN,86,LAS,OAK,407,0,0
2008,1,3,1251,1425,WN,237,N281WN,94,LAS,OAK,407,0,0
2008,1,3,1548,1728,WN,280,N460WN,100,LAS,OAK,407,0,0
2008,1,3,821,955,WN,864,N640SW,94,LAS,OAK,407,0,0
2008,1,3,2216,2348,WN,900,N679AA,92,LAS,OAK,407,0,0
2008,1,3,2010,2203,WN,962,N378SW,113,LAS,OAK,407,0,0
2008,1,3,1433,1608,WN,1011,N248WN,95,LAS,OAK,407,0,0
2008,1,3,935,1106,WN,1258,N774SW,91,LAS,OAK,407,0,0
2008,1,3,2156,2334,WN,1950,N408WN,98,LAS,OAK,407,0,0
2008,1,3,2035,2209,WN,3135,N695SW,94,LAS,OAK,407,0,0
2008,1,3,602,733,WN,3233,N354SW,91,LAS,OAK,407,0,0
2008,1,3,1152,1616,WN,86,N627SW,144,LAS,OKC,987,0,0
2008,1,3,1435,1859,WN,479,N622SW,144,LAS,OMA,1099,0,0
2008,1,3,2049,106,WN,875,N217JC,137,LAS,OMA,1099,0,0
2008,1,3,913,1342,WN,2111,N673AA,149,LAS,OMA,1099,0,0
2008,1,3,1613,1721,WN,187,N690SW,68,LAS,ONT,197,0,0
2008,1,3,2015,2101,WN,725,N259WN,46,LAS,ONT,197,0,0
2008,1,3,655,742,WN,731,N244WN,47,LAS,ONT,197,0,0
2008,1,3,1438,1533,WN,872,N788SA,55,LAS,ONT,197,0,0
2008,1,3,1102,1152,WN,906,N301SW,50,LAS,ONT,197,0,0
2008,1,3,2218,2308,WN,1493,N356SW,50,LAS,ONT,197,0,0
2008,1,3,851,938,WN,1670,N742SW,47,LAS,ONT,197,0,0
2008,1,3,1230,1331,WN,2018,N313SW,61,LAS,ONT,197,0,0
2008,1,3,1838,1930,WN,2730,N273WN,52,LAS,ONT,197,0,0
2008,1,3,1358,1449,WN,3070,N660SW,51,LAS,ONT,197,0,0
2008,1,3,1757,108,WN,156,N466WN,251,LAS,ORF,2155,0,0
2008,1,3,1816,2022,WN,700,N678AA,126,LAS,PDX,762,0,0
2008,1,3,755,958,WN,1669,N484WN,123,LAS,PDX,762,0,0
2008,1,3,1328,1549,WN,2354,N258WN,141,LAS,PDX,762,0,0
2008,1,3,2134,2343,WN,2550,N608SW,129,LAS,PDX,762,0,0
2008,1,3,1127,1856,WN,1285,N435WN,269,LAS,PHL,2176,0,0
2008,1,3,1720,41,WN,1843,N484WN,261,LAS,PHL,2176,0,0
2008,1,3,559,800,WN,102,N639SW,61,LAS,PHX,256,0,0
2008,1,3,712,932,WN,243,N228WN,80,LAS,PHX,256,0,0
2008,1,3,1327,1533,WN,287,N747SA,66,LAS,PHX,256,0,0
2008,1,3,1817,2016,WN,504,N338SW,59,LAS,PHX,256,0,0
2008,1,3,1807,2011,WN,559,N603SW,64,LAS,PHX,256,0,0
2008,1,3,1712,1914,WN,668,N221WN,62,LAS,PHX,256,0,0
2008,1,3,1206,1418,WN,752,N680AA,72,LAS,PHX,256,0,0
2008,1,3,1134,1343,WN,781,N378SW,69,LAS,PHX,256,0,0
2008,1,3,1003,1208,WN,871,N327SW,65,LAS,PHX,256,0,0
2008,1,3,815,1034,WN,1034,N420WN,79,LAS,PHX,256,0,0
2008,1,3,2156,2353,WN,1403,N258WN,57,LAS,PHX,256,0,0
2008,1,3,2140,2334,WN,1682,N281WN,54,LAS,PHX,256,0,0
2008,1,3,631,832,WN,2103,N291WN,61,LAS,PHX,256,0,0
2008,1,3,1521,1725,WN,2726,N777QC,64,LAS,PHX,256,0,0
2008,1,3,2100,2255,WN,2991,N752SW,55,LAS,PHX,256,0,0
2008,1,3,1657,1905,WN,3517,N487WN,68,LAS,PHX,256,0,0
2008,1,3,926,1129,WN,3598,N790SW,63,LAS,PHX,256,0,0
2008,1,3,1413,1612,WN,3849,N269WN,59,LAS,PHX,256,0,0
2008,1,3,1825,114,WN,512,N794SW,229,LAS,PIT,1910,0,0
2008,1,3,927,1631,WN,594,N715SW,244,LAS,PIT,1910,0,0
2008,1,3,1630,23,WN,416,N401WN,293,LAS,PVD,2363,0,0
2008,1,3,1136,1852,WN,170,N448WN,256,LAS,RDU,2027,0,0
2008,1,3,1824,121,WN,1509,N403WN,237,LAS,RDU,2027,0,0
2008,1,3,1716,1830,WN,239,N267WN,74,LAS,RNO,345,0,0
2008,1,3,1928,2034,WN,298,N450WN,66,LAS,RNO,345,0,0
2008,1,3,709,816,WN,376,N342SW,67,LAS,RNO,345,0,0
2008,1,3,1741,1905,WN,675,N286WN,84,LAS,RNO,345,0,0
2008,1,3,1609,1732,WN,709,N428WN,83,LAS,RNO,345,0,0
2008,1,3,913,1029,WN,891,N400WN,76,LAS,RNO,345,0,0
2008,1,3,2215,2334,WN,1341,N442WN,79,LAS,RNO,345,0,0
2008,1,3,2137,2251,WN,2273,N286WN,74,LAS,RNO,345,0,0
2008,1,3,624,729,WN,2538,N230WN,65,LAS,RNO,345,0,0
2008,1,3,1100,1210,WN,2719,N466WN,70,LAS,RNO,345,0,0
2008,1,3,1313,1437,WN,3430,N487WN,84,LAS,RNO,345,0,0
2008,1,3,1415,1527,WN,3835,N610WN,72,LAS,RNO,345,0,0
2008,1,3,1108,1221,WN,3947,N277WN,73,LAS,RNO,345,0,0
2008,1,3,1348,1455,WN,341,N315SW,67,LAS,SAN,258,0,0
2008,1,3,1221,1329,WN,535,N428WN,68,LAS,SAN,258,0,0
2008,1,3,2140,2240,WN,708,N692SW,60,LAS,SAN,258,0,0
2008,1,3,805,909,WN,711,N207WN,64,LAS,SAN,258,0,0
2008,1,3,1643,1751,WN,715,N902WN,68,LAS,SAN,258,0,0
2008,1,3,946,1045,WN,1037,N734SA,59,LAS,SAN,258,0,0
2008,1,3,1915,2016,WN,1254,N490WN,61,LAS,SAN,258,0,0
2008,1,3,1839,1945,WN,2186,N692SW,66,LAS,SAN,258,0,0
2008,1,3,2207,2307,WN,2211,N646SW,60,LAS,SAN,258,0,0
2008,1,3,1503,1604,WN,2357,N414WN,61,LAS,SAN,258,0,0
2008,1,3,1613,1727,WN,2363,N405WN,74,LAS,SAN,258,0,0
2008,1,3,2248,2346,WN,2449,N454WN,58,LAS,SAN,258,0,0
2008,1,3,612,713,WN,2712,N253WN,61,LAS,SAN,258,0,0
2008,1,3,1118,1225,WN,3423,N298WN,67,LAS,SAN,258,0,0
2008,1,3,1456,1920,WN,120,N277WN,144,LAS,SAT,1069,0,0
2008,1,3,2022,36,WN,802,N902WN,134,LAS,SAT,1069,0,0
2008,1,3,1049,1509,WN,2113,N350SW,140,LAS,SAT,1069,0,0
2008,1,3,753,1215,WN,2906,N794SW,142,LAS,SAT,1069,0,0
2008,1,3,1831,110,WN,495,N768SW,219,LAS,SDF,1624,0,0
2008,1,3,1704,1929,WN,340,N634SW,145,LAS,SEA,866,0,0
2008,1,3,2017,2241,WN,563,N285WN,144,LAS,SEA,866,0,0
2008,1,3,639,859,WN,1769,N731SA,140,LAS,SEA,866,0,0
2008,1,3,1117,1330,WN,2465,N431WN,133,LAS,SEA,866,0,0
2008,1,3,1426,1605,WN,488,N615SW,99,LAS,SFO,414,0,0
